s1,s2,s3,s4,s5,s6,labels
4.424960637,-0.04907809,4.424960637,4.424960637,-0.04907809,-0.04907809,2
5.016749324,0.523824896,5.016749324,5.016749324,0.523824896,0.523824896,2
5.203051571,1.444862452,5.203051571,5.203051571,1.444862452,1.444862452,2
4.989713454,0.450777065,4.989713454,4.989713454,0.450777065,0.450777065,2
4.89500441,-0.151108799,4.89500441,4.89500441,-0.151108799,-0.151108799,2
4.36213544,-0.048804928,4.36213544,4.36213544,-0.048804928,-0.048804928,2
4.652475916,-0.033060275,4.652475916,4.652475916,-0.033060275,-0.033060275,2
5.345308964,1.059497818,5.345308964,5.345308964,1.059497818,1.059497818,2
5.552170159,1.011276754,5.552170159,5.552170159,1.011276754,1.011276754,2
5.001370356,0.978279414,5.001370356,5.001370356,0.978279414,0.978279414,2
5.104967614,1.264025056,5.104967614,5.104967614,1.264025056,1.264025056,2
5.193079273,1.038546703,5.193079273,5.193079273,1.038546703,1.038546703,2
5.989016456,0.88584725,5.989016456,5.989016456,0.88584725,0.88584725,2
4.504728337,1.53187215,4.504728337,4.504728337,1.53187215,1.53187215,2
4.755851895,1.711900925,4.755851895,4.755851895,1.711900925,1.711900925,2
4.092113824,0.899138748,4.092113824,4.092113824,0.899138748,0.899138748,2
4.2352596,0.264259957,4.2352596,4.2352596,0.264259957,0.264259957,2
4.792129226,1.298499123,4.792129226,4.792129226,1.298499123,1.298499123,2
4.953593483,1.110456036,4.953593483,4.953593483,1.110456036,1.110456036,2
4.94983045,1.348142831,4.94983045,4.94983045,1.348142831,1.348142831,2
4.855184994,2.49626407,4.855184994,4.855184994,2.49626407,2.49626407,2
4.025985008,1.612184507,4.025985008,4.025985008,1.612184507,1.612184507,2
4.867688582,2.067364496,4.867688582,4.867688582,2.067364496,2.067364496,2
4.202390395,3.8348445,4.202390395,4.202390395,3.8348445,3.8348445,2
4.259934546,2.321853517,4.259934546,4.259934546,2.321853517,2.321853517,2
3.104597897,1.837657612,3.104597897,3.104597897,1.837657612,1.837657612,2
3.744713203,2.607488379,3.744713203,3.744713203,2.607488379,2.607488379,2
3.248755939,1.759714703,3.248755939,3.248755939,1.759714703,1.759714703,2
4.038679737,2.227711984,4.038679737,4.038679737,2.227711984,2.227711984,2
3.657659105,2.433028334,3.657659105,3.657659105,2.433028334,2.433028334,2
3.87190352,2.829859859,3.87190352,3.87190352,2.829859859,2.829859859,2
4.217936032,3.584015184,4.217936032,4.217936032,3.584015184,3.584015184,2
3.228733086,3.074193915,3.228733086,3.228733086,3.074193915,3.074193915,2
4.369266193,2.955888862,4.369266193,4.369266193,2.955888862,2.955888862,2
4.403712252,3.272258668,4.403712252,4.403712252,3.272258668,3.272258668,2
3.724320696,2.545779306,3.724320696,3.724320696,2.545779306,2.545779306,2
3.648051455,3.527906454,3.648051455,3.648051455,3.527906454,3.527906454,2
3.595924547,3.018015571,3.595924547,3.595924547,3.018015571,3.018015571,2
3.962091366,3.720739565,3.962091366,3.962091366,3.720739565,3.720739565,2
3.602815795,3.316289962,3.602815795,3.602815795,3.316289962,3.316289962,2
3.060135657,3.076039451,3.060135657,3.060135657,3.076039451,3.076039451,2
2.963056352,2.686723403,2.963056352,2.963056352,2.686723403,2.686723403,2
3.06218303,3.813385848,3.06218303,3.06218303,3.813385848,3.813385848,2
2.924989849,4.050208735,2.924989849,2.924989849,4.050208735,4.050208735,2
2.93721602,3.527439175,2.93721602,2.93721602,3.527439175,3.527439175,2
3.191423683,3.148914785,3.191423683,3.191423683,3.148914785,3.148914785,2
2.687238729,3.321714372,2.687238729,2.687238729,3.321714372,3.321714372,2
3.432719893,4.61737135,3.432719893,3.432719893,4.61737135,4.61737135,2
2.698792395,3.680062739,2.698792395,2.698792395,3.680062739,3.680062739,2
2.99797312,4.311732836,2.99797312,2.99797312,4.311732836,4.311732836,2
2.469501421,4.198378047,2.469501421,2.469501421,4.198378047,4.198378047,2
2.995139328,4.820990919,2.995139328,2.995139328,4.820990919,4.820990919,2
1.810247002,4.001789724,1.810247002,1.810247002,4.001789724,4.001789724,2
1.582650322,4.372866783,1.582650322,1.582650322,4.372866783,4.372866783,2
1.943311551,5.38485419,1.943311551,1.943311551,5.38485419,5.38485419,2
3.530240852,4.871193882,3.530240852,3.530240852,4.871193882,4.871193882,2
3.11885791,5.732392608,3.11885791,3.11885791,5.732392608,5.732392608,2
2.49348166,4.675050566,2.49348166,2.49348166,4.675050566,4.675050566,2
1.891102291,4.972672792,1.891102291,1.891102291,4.972672792,4.972672792,2
