labels,s11,s12,s21,s22,s31,s32,s41,s42,s51,s52
0,2.396e-05,6.008e-05,-0.000158309,-0.000109988,-1.875022923,-1.624868546,-2.909976251,0.004932038,-27.134866249,5.320544379
0,4.0778e-05,-5.69e-06,-0.000193814,9.6389e-05,-2.023507404,-0.954637037,-1.542172527,-2.29206376,-15.127464551,-17.229197842
0,7.333e-06,-3.9643e-05,-8.759e-05,2.3477e-05,-1.553690527,-0.621804569,-1.094002025,-2.023507814,-7.025946452,-20.894804408
0,8.0504e-05,1.6745e-05,4.6533e-05,-5.8394e-05,1.153509712,0.49723953,1.205641959,0.350626989,9.280660303,2.982166307
0,-4.6708e-05,-0.000105607,-5.1036e-05,-3.1464e-05,-1.09388635,-0.486506235,-0.558173665,-1.697130355,-3.197930415,-15.685163388
0,-6.2409e-05,8.701e-06,5.2005e-05,-4.0798e-05,0.486454469,0.451895501,-0.641338579,1.752994314,-5.867683557,13.834522485
0,-9.3955e-05,3.6425e-05,-1.3603e-05,-0.000140011,0.16715627,-0.576224714,0.484830296,-1.144688568,6.807400789,-13.178039472
0,-1.7033e-05,2.5232e-05,3.3428e-05,1.0226e-05,0.858008843,0.844187825,1.040967353,0.682668695,6.60426502,6.793270026
0,-0.000162928,-4.3047e-05,-0.000194341,2.7368e-05,-2.586018453,-0.742380968,-2.316607207,-1.767717284,-19.379910705,-8.819846057
0,-2.3158e-05,-1.233e-06,0.00046491,0.000901604,1.652572101,2.71109204,2.901832737,3.361440806,20.546588255,31.340052121
0,-2.377e-06,-2.2352e-05,0.000150059,-8.514e-06,2.331540955,0.798799706,2.600014328,0.641406114,27.500812951,0.479835786
0,-3.5175e-05,2.3652e-05,0.000414432,0.000835565,1.600578327,3.282172391,2.94456645,3.322963553,20.236380451,29.638735255
0,0.000103248,-0.000107361,-0.000170508,-4.9566e-05,-2.784032356,-1.209856556,-2.507387675,-2.09253622,-21.265021394,-9.530214195
0,6.9449e-05,-1.68e-07,-7.8349e-05,3.3524e-05,-1.523725064,-0.308102707,-0.899454679,-1.644538871,-6.86267684,-14.133926368
0,-2.2921e-05,7.409e-06,2.5844e-05,9.462e-06,0.968572197,0.650199777,1.093427842,0.48282136,4.273975385,7.23881743
0,0.000135278,4.2433e-05,-0.000180372,8.4988e-05,-2.290351271,-0.711072328,-1.820488153,-2.151362169,-14.196810423,-18.197246712
0,-4.409e-06,-0.000109607,7.449e-06,-0.000197801,1.538682757,-0.489052387,1.732130438,-0.584590355,24.440757284,-8.220400014
0,-0.000200129,-8.2287e-05,-1.8938e-05,-0.000294877,0.971791087,-1.095072229,1.374912315,-1.443007851,16.850110575,-15.249600963
0,-4.393e-06,8.8751e-05,0.000350845,0.000623493,1.66769296,2.846218725,2.712715524,2.843018155,17.846617612,23.410116958
0,-1.4006e-05,-3.6985e-05,-2.506e-05,-0.000290875,1.25367545,-0.886895654,1.662379783,-1.103955753,15.977035401,-21.942816714
0,1.1789e-05,-0.000172777,0.000180801,-6.459e-06,1.600426128,1.129399277,0.288537849,2.48952108,-2.030530508,24.17314215
0,-0.000158316,9.0669e-05,-7.2234e-05,-7.1079e-05,-0.051633624,-0.555529692,0.288335772,-1.216584407,4.279987555,-10.423828295
0,-4.228e-05,5.931e-06,1.7491e-05,-0.000182684,1.54042408,-0.29640958,1.757635432,-0.374522551,30.378021941,-7.70524851
0,-4.8441e-05,-7.311e-06,7.911e-06,-8.8114e-05,-0.822888325,-0.248535923,-0.38320188,-1.393679432,-1.584446505,-18.429845061
0,0.000129716,7.288e-06,-2.715e-06,-6.6027e-05,0.051088879,-0.046374607,-1.213665117,1.492567333,-9.958614136,16.421680618
0,-3.5045e-05,1.3458e-05,-0.000167407,0.000119348,-2.072655112,-0.167936212,-1.60279333,-1.495546889,-12.357269815,-11.399170947
0,-0.00010727,5.3681e-05,-5.7484e-05,-6.0008e-05,-0.356808625,-0.325472243,-1.60758968,1.185606885,-14.297949636,12.697808157
0,5.1302e-05,-9.6023e-05,-8.9042e-05,-3.3387e-05,-0.988657086,-1.288236132,-2.339688878,0.746102929,-26.691215339,14.363577391
0,0.000150029,-5.5122e-05,5.3218e-05,-3.8259e-05,1.499744166,0.232420512,1.55758369,0.204967522,14.083347353,-0.527309834
0,-3.4535e-05,-0.000113976,0.000122697,-5.4902e-05,1.098058481,0.433235809,-0.386007549,2.204227732,-9.469208744,23.823548498
0,2.281e-05,-1.5878e-05,-0.000296784,-0.00044841,-2.667928368,-2.096793279,-3.533787956,-1.082394302,-30.402731517,-0.416338571
0,1.7849e-05,-7.2199e-05,-3.5858e-05,-1.665e-05,-1.00888112,0.268501945,-0.67554372,-0.832400185,-3.709225932,-4.490008904
0,-2.211e-06,-4.8259e-05,-2.4405e-05,-8.0633e-05,-0.063745147,0.178594092,-1.163967418,1.416635808,-10.639271733,12.539703907
0,-1.8687e-05,-3.1204e-05,0.000264385,0.00014492,2.384653994,1.596896405,3.05100955,1.517576487,30.093389569,17.294389444
0,-2.3365e-05,-0.000114904,0.000102643,1.4934e-05,1.706858673,0.722585238,1.868264124,0.770392126,16.31855411,4.69923305
0,6.735e-06,0.00011825,2.4202e-05,-0.000276981,1.792413208,-0.663492717,2.15689427,-0.826103443,22.645521871,-14.509474612
0,-4.3913e-05,4.0973e-05,3.9903e-05,-2.2404e-05,1.544687999,0.137733955,1.614780521,0.117545274,16.610730318,-2.078113132
0,2.7387e-05,-0.000100759,-0.000124209,-8.2364e-05,-1.229378043,-1.079401305,-2.415780563,0.55177338,-21.17122137,8.647431982
0,1.4825e-05,-1.2029e-05,-0.000420451,-0.000660253,-3.094362056,-2.191694966,-3.81864299,-1.79599423,-32.840689601,-7.853651909
0,-3.1702e-05,-3.3649e-05,1.2705e-05,-0.000190407,0.631822074,-0.720731103,0.96681679,-1.159327,14.487961494,-10.906827023
0,2.2451e-05,-5.1291e-05,0.000146296,-2.4302e-05,1.267387363,0.743738316,-0.057457277,2.297281878,-6.720374223,25.217790939
0,-1.0071e-05,-9.643e-06,4.163e-06,-8.2071e-05,-0.132650199,-0.399290291,-1.522660899,1.364578065,-15.616931482,17.931843081
0,-6.3625e-05,4.325e-05,0.000419267,0.000793992,1.628632016,3.206960283,2.953253051,3.240637627,21.824571164,28.515038685
0,-7.0063e-05,0.000106162,0.000141248,0.000146157,2.190063683,1.099473314,2.386007139,1.059961898,22.767476695,5.714839325
0,-3.8685e-05,4.3731e-05,-0.000106326,4.4482e-05,-1.600332885,-0.140468838,-0.979105465,-1.485405067,-8.698098121,-13.982659582
0,2.4806e-05,-4.6631e-05,7.6614e-05,-2.1974e-05,1.216193125,0.664489836,1.298499902,0.537890576,10.158660595,3.484948535
0,9.5129e-05,-2.9384e-05,-5.64e-07,-0.000288266,1.569663344,-0.879571932,1.869624556,-0.958472051,20.791293688,-12.808308417
