s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	labels
-2270.11	6845.26	0	0	0	1785.64	8584.69	15772.15	33237.54	61024.22	5.63	-55.95	6037.26	54572.05	285594.26	1
-9629.15	16706.12	0	0	0	-4011.25	3037.11	12126.27	56491.84	106709.41	0.07	-3.17	22691.55	55257.31	258813.11	1
25184.82	-26899.06	0	0	0	1064.66	3575.61	-166.31	9715.59	44432.26	-0.7	-174.04	-6942.14	63152.07	416112.48	1
-18956.23	26907.94	0	0	0	-831.49	286.07	4316.7	41323.78	74105.22	-0.01	116.67	27768.91	71325.17	353659.95	1
-8427.13	33600.54	0	0	0	1429.1	-836.05	11757.79	20806.68	58966.12	-1.36	125.32	25501.72	76524.98	371169.26	1
8578.88	21422.52	0	0	0	-1126.11	-5488.83	3440.29	18851.81	55590.08	1.37	-76.62	6875	60444.79	298589.74	1
-20934.92	16282.01	0	0	0	-548.03	5200.89	9503.58	37851.09	86703.07	1.82	33.3	22768.56	62298.05	324238.95	1
25862.34	32504.7	0	0	0	4410.52	-6896.49	2241.38	-8931.51	43460.56	0.63	2.57	17299.9	78036.49	443091.34	1
-21162.34	6412.01	0	0	0	3620.73	7570.35	3177.64	-10391.91	42532.62	-3.44	-43.77	7132.87	71933.92	411108.46	1
24338.05	42997.68	0	0	0	6871.35	2578.36	-684.49	7210.56	53650	2.58	178.15	25033.74	79095.3	466039.09	1
20250.25	14889.24	0	0	0	3256.34	-8717.6	4398.24	42623.87	88534.48	3.85	-9.76	18743.23	54592.02	269425.32	1
-13701.09	14144.52	0	0	0	-2520.47	-6360.7	3469.45	25736.58	76210.59	-0.84	-10.01	19263.84	60674.38	311169.65	1
-5445.3	13281.42	0	0	0	943.11	9129.06	929.66	40552.45	86790.35	0.75	-8.39	17425.71	55056.48	271246.92	1
27260.6	24667.66	0	0	0	2537.83	11507.21	16108.53	57366.76	98695.69	0.09	20.24	20965.81	51327.88	242228.91	1
19630.37	20038.01	0	0	0	1451.11	9144.11	11878.72	49231.82	81971.95	-1.2	154.98	27816.77	67416.97	344859.92	1
-18380.61	26577.27	0	0	0	1170.45	7012.09	16541.62	66539.28	81752.94	1.27	170.68	25697.03	62599.09	340165.63	1
-27614.68	-10247.76	0	0	0	-2673.94	702.43	10234.74	49179.13	52425.69	1.92	47.8	8021.69	-5024.13	-29517.83	1
-3689.96	-17935.28	0	0	0	-533.01	-7131.91	-7030.3	-9416.49	40871.69	4.49	-116.99	-3816.28	66374.2	420705.15	1
3131.99	3807.83	0	0	0	396.26	-3873.18	19148.51	34007.18	57441.99	-1.68	-56.34	2311.21	55635.32	287526.77	1
-11995.29	11343.6	0	0	0	-2823.96	-6348.5	-12496.61	24215.96	69725.65	1.96	-35.47	15211.81	59557.57	305372.23	1
12899	15836.68	0	0	0	-1552.31	-1935.35	21087.02	66953.49	97863.34	-3.85	92.75	25309.82	59148.74	253250.69	1
-5606.62	14914.11	0	0	0	-3500.78	-5751.8	-4848.64	45823.18	91725.32	-1.95	-10.96	17929.14	50305.04	237911.22	1
3579.45	4356.68	0	0	0	-1906.12	7673.57	12425.07	60374.15	87664.76	3.53	123.86	26721.7	63265	340179.11	1
-8240.19	23242.19	0	0	0	1003.8	-2554.64	3183.44	41074.76	83845.25	-7.01	-12.7	16032.35	49619.36	234581.06	1
-8924.34	-2189.31	0	0	0	-3968.39	-4489.52	6954.6	-6700.9	43747.06	-0.13	13.24	18073.43	77539.62	446872.56	1
1688.19	21699.73	0	0	0	-3184.79	-9309.4	-5368.53	-7820.31	51242.82	4.59	-10.22	14306.99	73078.09	390380.1	1
15727.92	19246.47	0	0	0	-1155	11121.68	4042.98	78.19	53436.27	2.8	1.98	16251.88	73260.84	387661.88	1
-10012.28	-36361.6	0	0	0	1585.69	-7524.63	4302.78	3824.49	50779.88	0.84	159.91	26783.56	80050.38	466895.03	1
-820.05	28211.09	0	0	0	1154.36	13658.14	14814.83	-1057.88	49719.61	0.12	14.45	19431.19	77594.73	392370.07	1
-10167.83	19722.94	0	0	0	4536.29	-3589.11	-1565.05	9515.41	62686.55	0.35	9.45	16900.4	67911.31	381192.41	1
-20354.03	33217.24	0	0	0	4796.68	11907.32	-2136.52	-17717.61	39682.38	-2.42	-39.92	9361.36	75303.94	435551.42	1
-16806.49	15920.31	0	0	0	2477.26	1943.88	14759.76	53852.78	104036.63	-1.54	5.8	21999.06	53122.58	248779.98	1
-7675.98	18821.92	0	0	0	23.31	-323.57	-9847.82	24866.81	72035.33	4.14	74.82	24982.77	70630.43	359969.57	1
2831.81	13149.45	0	0	0	1577.2	-11604.05	4021.94	28902.36	62107.85	-7.71	-50.01	7374.33	57094.21	294353.79	1
4226.86	25213.49	0	0	0	2981.54	3870.21	1240.26	-5931.17	50542.77	-7.88	-2.74	15459.93	73726.39	391959.95	1
14279.25	36266.84	0	0	0	-2968.7	8256.08	8149.81	5436.99	52077.08	-4.05	74.12	22849.38	77760.15	378298.09	1
-16122.79	4983.79	0	0	0	-3414.81	-6951.95	2287.97	43054.08	76921.19	5.57	-32.39	12872.14	51024.33	274621.98	1
12677.89	9322.99	0	0	0	1038.37	-5249.8	-3905.52	49490.63	97705.51	4.32	11.08	21351.86	56077.85	263084.66	1
17846.39	34187.83	0	0	0	-937.65	1012.59	13176.5	10215.78	55514.27	-4.35	99.11	22396.47	77325.85	375035.54	1
6879.88	18489.68	0	0	0	-458.71	-718.32	-13796.22	15137.36	57867.39	-4.87	-44.74	9487.35	62503.16	301497	1
-9573.36	20265.91	0	0	0	-5489.07	3699.93	-12025.39	-6413.38	47501.63	-0.03	-38.48	10226.58	71748.43	400324.58	1
5602.96	27111.29	0	0	0	-2973.89	-1145.64	-12843.73	-8089.44	47594.7	-1.17	-11.14	13997.45	74403.28	397023.21	1
-22143.23	19802.55	0	0	0	-99.61	9384.84	12226.73	31367.5	73837.38	-0.68	79.92	27893.64	70446.39	356184.75	1
9541.18	18211.59	0	0	0	63.95	2612.05	11645.61	60995.58	109855.27	-2.06	18.29	22112.44	54477.65	255810.28	1
16014.8	20989.66	0	0	0	247.12	10578.32	13949.33	54333.37	100056.2	-0.1	4.54	20418.21	51672.07	241854.28	1
-15182.86	13187.33	0	0	0	162.9	9240.99	-5551.24	-13032.54	45565.45	2.13	-18.36	13776.87	73626.64	400593.92	1
23100.76	38328.12	0	0	0	-1179.59	-5454.09	5729.32	12354.13	48661.46	2.84	-122.06	-4899.85	60447.24	414282.33	1
-6360.89	15075.37	0	0	0	1080.49	18144.86	1475.81	65983.65	110187.81	-3.85	44.82	23656.05	55670.85	253992.89	1
-1585.23	17486.06	0	0	0	112.83	-3147.09	939.94	40234.03	72666.46	-1.28	-38.67	10047.95	51963.03	277374.72	1
-2258.27	17794.88	0	0	0	1022.76	3584.59	15964.56	55993.56	85567.75	-2.29	150.05	28423.13	65691.63	342209.22	1
10958.82	9636.28	0	0	0	-4830.91	4784.04	-1563.42	49060.74	98579.11	4.6	9	20693.47	54482.04	262905.14	1
-30994.92	40719.3	0	0	0	-1609.75	1291.61	3802.9	38182.32	66746.87	1.24	301.48	28388.16	74155.75	358446.07	1
-15893.53	-13295.63	0	0	0	3932.77	8428.79	11475.22	38038.95	63638.91	0.35	5.04	13458.77	44471.33	222926.97	1
-8094.34	17719.63	0	0	0	-197.59	-4303.31	6121.24	-13145.59	46872.01	-4.72	-27.04	12267.5	73559.25	399338.54	1
-40076.93	62075.34	0	0	0	-358.75	-6625.72	-13114.77	-16126.86	38987.5	3.5	-160.82	4216.75	69680.23	429540.34	1
7518.85	27547.59	0	0	0	-3846.92	12469.95	25589.12	32870.16	58785.22	-1.43	-68.6	-4999.23	54935.46	284998.24	1
8626.01	18969.1	0	0	0	2015.88	5952.59	-1625.44	35135.69	68569.49	2.81	-33.8	6627.98	55153.38	286093.46	1
14375.67	43250.59	0	0	0	2020.81	1453.38	5093.52	-11598.86	39054.03	-1.23	-24.35	9658.57	78137.65	446408.07	1
15581.11	14905.11	0	0	0	1815.41	758.76	42.02	-13440.87	46863.35	0.4	-16.99	13868.58	73391.92	398550.47	1
20330.15	20912.71	0	0	0	-554.56	4447.55	1870.12	-11313.03	47821.95	2.94	-15.2	12300.01	74138.15	397487.36	1
2915.58	17816.62	0	0	0	1876.84	-10010.15	-1784.12	34583.49	86564.02	3.91	-0.15	19986.34	57290.42	308549.06	1
9236.61	13140.1	0	0	0	2711.17	1118.81	-10186.47	20948.42	66004.54	1.76	-15.98	16059.3	64010.33	312545.55	1
-5687.62	24171.28	0	0	0	6146.64	12901.83	23211.87	60412.46	78422.46	-5.89	71.65	21185.05	55779.91	248539.13	1
9361.21	-12786.37	0	0	0	2394.27	5008.1	10211.71	38693.85	76339.09	-3.59	-5.27	16105.64	46658.63	229117.53	1
-3364.27	-6701.51	0	0	0	-5672.17	1060.65	14750.06	31947.36	54608.15	-3.15	-10.48	10998.48	44918.45	217553.6	1
13821.93	30085.8	0	0	0	3924.22	7655.82	2487.14	33411.07	50458.3	-5.11	9.64	13967.52	42658.82	215306.41	1
-8453.79	2235.02	0	0	0	-3434.42	-7796.32	7551.08	41467.48	87637.92	1.24	-15.93	17642.33	50471.65	238020.55	1
-1746.23	31821.56	0	0	0	-1258.64	666.27	14326.26	16496.65	58227.71	-0.39	83.08	23147.21	76551.03	373237.61	1
-18131.34	39561.64	0	0	0	4168.91	6811.33	7214.4	28016.09	63684.96	2.22	259.79	27741.24	75952.93	361752.4	1
-24181.75	28121.14	0	0	0	-670.44	14.75	4107.11	38057.78	73797.86	-6.77	130.13	27089.71	71058.24	354327.2	1
17158.13	26663.44	0	0	0	-1471.47	7769.86	14603.43	23796.9	52532.11	2.83	-92.5	-374.51	59880.01	292850.06	1
-14198.32	13916.22	0	0	0	5025.6	5609.13	2050.07	30683.44	79370.03	8.13	36.25	23009.89	64557.52	324782.3	1
20015.49	15132.26	0	0	0	3376.54	5796.07	6696.45	34970.53	85010.92	-2.32	57.1	24973.68	63623.45	326904.65	1
18973.87	30220.48	0	0	0	-5622.31	3794.87	5816.81	-16973.52	39630.26	6.24	-44.22	4923.31	72762	425877.68	1
12006.94	1105.86	0	0	0	949.24	6146.78	13459.32	39491.99	68877.04	-0.97	-38.06	8862.26	52543.2	278015.26	1
-19796.2	18835.15	0	0	0	23.17	-7369.64	12704.37	40249.7	68836.91	-7.71	-42.9	10664.12	53576.07	279797.53	1
-50883.32	56976.69	0	0	0	1261.18	-1772.13	-21516.64	-23249.85	36992.31	-4.27	-130.52	-2940.28	71599.49	431498.2	1
20647.87	23814.6	0	0	0	-338.34	4444.55	11904.04	25900.14	55160.13	-2.61	-66.37	4839.14	59252.22	295604.4	1
2801.96	13273.69	0	0	0	5771.54	4433.36	10355.49	47270.87	86304.4	1.96	-7.69	17917.37	48576.84	233589.61	1
-9569.15	-3394.76	0	0	0	373.87	-10337.54	-24290.8	-20747.67	38108.42	-6.5	-85.57	-2145.17	72121.94	429730.57	1
35438.82	-45214.36	0	0	0	-468.11	-14260.49	1456	9289.69	54089.15	-2	208.19	26576.74	79786.94	468603.28	1
4768.24	22059.77	0	0	0	-292.09	4783.4	14907.96	34223.24	63720.09	8.82	-38.92	6518.62	53307.79	283662.7	1
-7392.62	-49894.86	0	0	0	2412.47	-5793.2	-4986.45	5861.45	50897.43	2.64	192.9	23122.39	80207.7	467908.73	1
-1190.55	-15825.43	0	0	0	-10413.01	-8572.79	-13951.24	-15752.5	39157.54	-5.21	-96.57	-4193.32	70104.42	425213.46	1
-3304.78	18055.83	0	0	0	2727.46	8117.94	3511.4	24470.94	71539.14	6.19	19.98	20519.4	66346.33	321438.73	1
3961.21	13798.06	0	0	0	-5972.18	-1571.83	9408.27	34156.21	80250.56	1.68	71.82	24596.05	66895.64	331754.24	1
6364.13	2977.95	0	0	0	111.01	-3935.61	12260.17	48787.25	80901.13	-2.78	151.05	28255.77	68179.95	346634.42	1
10137.48	19709.13	0	0	0	-5117.93	11002.28	6726.12	30910.38	60535.42	2.86	-69.03	6848.94	57720.43	294657.35	1
20222.63	7463.36	0	0	0	8084.6	2303.39	1499.83	41714.37	90012.88	3.47	-6.04	18031.57	49988.49	236495.72	1
9737.92	9446.56	0	0	0	-2387.35	-13779.95	11612.04	39963.25	89916.16	3.68	-4.67	18669.09	55445.33	268866.69	1
-7697.79	20993.99	0	0	0	645.66	-7298.84	-16353.48	22411.31	62594.89	1.06	-53.81	9142.54	58754.2	299260.77	1
-7459.92	12545.32	0	0	0	7971.94	444.26	16503.18	48057.43	91432.7	7.74	59.18	25662.91	62287.53	331067.96	1
11327.05	5439.22	0	0	0	-960.48	-5893.46	6982.93	40761.84	90771.66	0.17	-10.58	18239.93	51468.31	240117.02	1
5342.85	10438.96	0	0	0	2629.74	-2342.67	-639.33	29317.3	64788.02	2.34	-55.87	7499.66	58303.07	296528.16	1
-38162.5	-52421.16	0	0	0	-1409.38	-15731.49	-21403.12	-25197.85	38410.18	1.41	-23.26	13282.4	78772.8	452528.31	1
8021.22	23527.19	0	0	0	-2369.21	-6164.75	3996.64	75286.45	106977.61	-4.48	51.78	24595.96	55800.89	250153.74	1
-11604.55	18719.96	0	0	0	4011.87	9323.7	13012.8	54998.07	106554.15	-8.58	29.07	25615.39	54633.91	258422.83	1
-23952.81	10360.66	0	0	0	-1907.36	-12111.53	5348.9	35352.01	78774.18	-1.3	95.14	27231.58	69154.04	351096.38	1
-18117.85	19125.43	0	0	0	-1228.25	-1233.81	-12532.78	-3109.25	51120.02	7.81	-26.55	12380.88	70937.03	393672.08	1
-11280.82	30581.9	0	0	0	1817.55	697.79	3197.76	-8494.78	46966.22	-8.99	-2.65	16351.32	77296.98	396562.5	1
3489.3	24054.59	0	0	0	-3978.33	-2884.21	22001.97	54559.5	93947.05	-1.3	80.9	26093.44	61327.2	333791.79	1
-25298.87	10231.56	0	0	0	-3361.91	-6362.39	16984.28	62967.54	95204.51	-5.02	107.81	27393.53	60503.38	337423.66	1
-5250.44	13716.82	0	0	0	1400.93	-1151.68	-3043.01	23696.36	74723.91	-1.72	-14.45	16937.66	60319.51	309699.87	1
-18532.9	32383.83	0	0	0	3783.43	-4031.13	614.1	40633.28	72808.31	-2.77	201.64	28466.46	71772.01	353202.96	1
-4006.6	218.88	0	0	0	-7733.29	-1572.33	3394.13	66560.03	110555.7	2.32	41.19	23845.21	54629.57	250223.74	1
11576.37	19198.45	0	0	0	622.68	-245.93	4494.7	55927.34	108489.47	-1.54	16.45	23040.78	54786.05	257449.99	1
-12677.6	26244.54	0	0	0	-108.12	3294.84	1952.75	39824.46	74766.71	0.6	187.66	28188.82	70980.93	353371.89	1
-17058.92	-15525.03	0	0	0	-884.6	-7526.97	-7738.26	-17723.32	38616.07	5.96	-66.69	-3649.94	69810.44	426718.95	1
