labels	s11	s12	s21	s22	s31	s32	s41	s42	s51	s52	sn11	sn12	sn21	sn22	sn31	sn32	sn41	sn42	sn51	sn52	ts11	ts12	ts21	ts22	ts31	ts32	ts41	ts42	ts51	ts52
1	11951.73	9858.43	16929.43	13032.11	65404.93	-29359.02	85567.87	31557.32	0	0	-6266.14	546.13	-160.32	-8628.15	9884.49	8710.39	3575.5	32648.49	-15320.57	26905.61	1.35	-2.94	10.52	350.71	-13920.15	32656.77	-13009.43	41048.36	-57257.21	158181.44
1	-14053.55	754.94	-21618.52	795.49	-83833.23	-40732.2	120137.46	-158198.14	0	0	-2737.86	-1631.19	5172.6	967.99	-7445.63	-10425.82	-15685.99	-27541.44	-30793.15	-21838.18	-1.07	0.13	52.62	284.89	9060.04	35036.49	7233.42	44255.14	47815.08	197594.91
1	-13108.44	-16445.29	-18898.4	-39243.37	-79072.34	-27973.44	88721.09	37689.02	0	0	341.85	1354.18	4633.44	-2137.89	-965.7	-14710.43	-13819.58	8881.61	-25147.35	-2399.6	6.11	-0.91	17.58	464.34	1547.14	35196.1	106.55	42718.54	12519.34	175491.22
1	3426.9	-10333.61	4452.96	-15100.05	53490.11	-63015.63	105128.11	-3284.88	0	0	4999.17	2140.96	-2748.27	1619.57	-4355.4	-1378.05	-9746.97	19824.3	-22231.48	4331.55	2.3	0.25	13.03	178.69	-1749.35	34041.61	-2696.29	41391.19	-5241.68	175380.09
1	8924.65	-9832.62	11757.3	-13629.7	111627.41	-91492.64	118463.87	-177034.72	0	0	-3124.97	1925.92	-6793.96	-4048.34	-6823.38	-19724.64	8764.38	-47181.92	-14232.45	-57518.57	1.55	-0.07	166.92	41.93	26494.3	30128.49	24999.24	46330.74	132211.05	224475.06
1	-1873.9	6103.42	-2298.13	7758.1	-10592.33	105438.67	95346.35	117940.59	0	0	-3398.23	2046.31	-4420.37	1985.23	-3380.49	679.42	-18794.02	-17505.82	-30826.38	-19987.12	-8.47	1.17	11.51	483.72	8908.13	34706.83	6507.87	44453.64	44909.38	193900.04
1	11467.29	12216.52	15871.65	17287.4	86801.84	-7021.94	104940.35	-42396.22	0	0	-1507.76	2581.55	-5734.72	10466.78	4085.5	-6412.82	-13815.4	13527.56	-23466.5	2636.31	-8.1	4.28	10.11	618.13	-236.36	34802.21	-1705.89	41556.18	-680.65	177305.6
1	6227.12	-18609.09	6931.15	-121982.49	43864.58	-72416.05	102404.25	-26585.76	0	0	195.89	-4689.27	-8395.96	-238.14	19164.76	5031.04	-8999.91	23896.73	-18145.64	12601.8	0.18	-4.58	21.36	397.08	-6650.59	34054.49	-7037.12	41156.77	-22045.81	159407.43
1	32.96	-17073.07	-20.3	-57678.42	35862.3	-68039.05	91211.5	-22362.2	0	0	5211.11	2115.84	9303.38	-1441.67	-13410.82	16492.18	-7821.73	51526.58	-23645.23	47225.07	12.04	0.63	-30.69	149.18	-22960.15	28182.71	-23347.15	39244.14	-99694.61	137929.39
1	5838.66	-287.65	7724.23	-565.1	66951.55	-33446.02	91466.13	44580.79	0	0	3443.4	-4531.9	-11414.83	-13649.15	-9540.11	-12826.97	-4809.33	14768.94	-22325.95	2658.07	0.29	-2.26	37.05	576.79	-669.98	33549.78	-1863.16	41276.53	6550.08	163255.21
