labels	s11	s12	s21	s22	s31	s32
1	167431173261.594	-658253.7257	1185.26803473542	-3900.7022	-302236.1693	-99800.1597
2	167648697275.192	-64431.0507	2118.91033323336	-3182.9655	133240.888654199	-231650.6354
1	166882945423.807	-900855.7352	-501.4325	2083.00444437856	-263993.615	-80638.5551
2	167650072419.748	-60316.2301	9403.05012816693	6575.46197128751	238828.824033471	158850.319511081
1	167601455476.973	-234178.0746	4577.03809940154	-10081.7601	-213105.0781	-193180.4968
2	167332580050.408	-1458792.8286	-221.5414	223.514807748427	321684.00827032	-116550.7683
1	167565753374.085	-273270.9455	6887.38746323406	-15491.8934	-329746.288	-264485.8196
2	167650072201.233	-60316.7529	4994.57654903935	1976.38437693461	129897.826571512	-190915.8636
1	167448616029.617	-448767.9162	1310.48822249323	-5632.0145	-389336.004	-142465.2594
2	167575579615.648	-385703.1978	-230.2146	228.810893293642	357013.566777808	-131104.0984
1	167506167247.04	-408922.0806	4586.24249304918	-11716.4417	-444291.4716	-219632.653
2	167649959057.435	-60261.4022	-3901.4731	6587.11685064784	-538895.773	-206812.2641
1	167307177618.067	-155906.9576	-1251.0282	-974.0685	-510929.579	-147594.5353
2	167637617364.73	-28244.1687	-3530.7234	8924.62187890966	-564175.2002	-31132.1238
1	167150135944.297	1310628.80608309	4701.50604267208	-17431.1881	-429491.2037	54815.4145673814
2	167650051830.829	-60391.1307	3219.07378860731	-4238.3635	58723.0186792858	-211519.7341
1	166133772117.594	2483477.80444297	-3141.3444	-7852.0685	-344741.5503	19671.4434895292
2	167650072860.38	-60314.3787	-69.7683	114.740054893252	529452.510025176	-324835.1929
1	167384791738.244	-1279543.8448	1261.91036657988	-894.3062	-86922.2894	-27261.5593
2	167650072860.253	-60314.3791	-8863.9247	-7399.8906	110363.76049726	294183.880485993
1	167031928369.055	729973.731020098	-3943.809	4258.55987552203	-432710.9255	-104068.4596
2	167650072857.824	-60314.3847	-33.9708	68.0769506287751	468874.024982903	-234096.9088
1	166393873804.735	-897279.3378	129.697744313611	-68.67	-312859.0203	-9469.2072
2	167650072858.764	-60314.3829	514.347174796812	-370.5117	476319.928064341	-243650.1281
1	166778708611.401	682411.075691691	-3966.028	6784.03641987112	-356117.9464	-108894.422
2	167648706821.991	-63292.9532	3931.09697308927	-10349.1199	-584124.4397	-221822.8554
1	167632355465.569	-103962.4927	3708.25200533151	-9475.7536	-422438.4266	-156053.3298
2	167650072857.499	-60314.3867	507.615730127796	-280.3113	459270.110580547	-211498.1995
1	167623052025.2	-128736.4437	-39469.9355	-21565.983	-429034.5216	582859.434242231
2	167650072860.38	-60314.3787	1111.75570518092	1901.77106998152	-169706.7374	-322732.2149
1	167444847860.446	93657.1724393995	-3036.8111	2220.21700668254	-502446.5991	-121415.1903
2	167650070790.867	-60312.9876	2578.65182777462	-5382.4483	-671734.8316	-49290.0746
1	167306103913.146	-578999.327	282.16127107336	-3216.6702	-399182.6735	-152608.164
2	167648008382.589	-65702.442	-2913.5961	4913.18305724845	-221703.9869	-185000.5793
1	167525406324.353	288629.959942181	1978.38025513252	3494.93769451433	-478130.7568	-27717.466
2	167649884821.561	-60264.1895	15253.7159812059	-7530.3962	-596447.5603	-36824.4917
1	166158564752.225	3626538.99741421	-6299.5793	10714.7182702197	-439306.3151	-69598.43
2	167650072859.741	-60314.3803	117.197326200297	-132.7202	422779.028102465	-110841.5379
1	166139860384.391	1389230.2499938	-5163.5858	-8950.9622	-322625.9984	45951.9285957161
2	167560558062.329	-142179.9243	11127.4394967083	-6418.9182	-374227.3266	159644.260979453
1	167431297681.336	-686185.5783	3470.29800272893	4543.11430255476	-229980.8053	536277.918524202
2	167650072860.358	-60314.3787	432.51402372159	-276.8831	489809.447406149	-303668.6657
1	167544222274.948	-401726.7559	13986.222734643	8975.19526871145	-169822.1862	498629.02024893
2	167650072720.922	-60314.4708	-570.6309	1127.64340392152	-510525.4284	-85066.4472
1	167426752038.804	-448329.0084	1704.49405202916	-6431.9252	-446976.5742	-175337.605
2	167650072499.969	-60315.4693	609.122570546567	-138.003	568933.86763179	-80895.4481
1	1,66981E+11	775857.225105584	-3915.8562	4115.8641641309	-428541.2912	-105077.084
2	167649992843.509	-60555.7216	1294.13402973199	-427.9067	191033.041733789	-217758.4793
1	166224567675.772	2565726.90383243	-5692.4991	9896.93148148259	-426120.5763	-72074.7832
2	167650046557.809	-60404.4452	-125.7452	170.859170856648	429650.792802205	-122046.4848
1	167468746517.79	113408.197670087	-5333.6211	7530.59908059397	-314872.7981	-87370.069
2	167650072859.665	-60314.3818	314.136375583677	-182.8359	247064.951121352	-203047.0238
1	167644731095.03	-74100.4357	-106.3053	-1365.9496	844040.003136454	46406.0492014106
2	167650072859.877	-60314.3796	1178.25788826443	-993.0853	325573.416332575	-291039.8109
1	166791931735.889	1605551.64161571	-5865.1431	7591.61945290711	-439171.0994	-85203.2895
2	167650072858.963	-60314.3824	-116.7965	491.1748458663	668936.082296634	-204306.5011
1	167228007499.521	932960.451261774	-5885.7862	8995.96716296073	-521092.6759	-84212.2219
2	167650072860.374	-60314.3787	389.770587659239	133.24468506243	417442.576342432	-374504.3261
1	166543497225.204	2400306.64840514	42.106642050996	-12391.2173	-376071.1231	66288.9585023389
2	167650071602.988	-60318.6708	-114.0527	158.04825532491	458348.13869147	-252205.8553
1	167180623208.279	-212333.5455	-6469.0158	-9132.7267	-383393.1375	172573.132786126
2	167649382479.708	-63304.709	-26.9357	60.6654644863096	316870.264856487	-209208.2043
1	167426852211.919	-676210.7023	-871.13	-114.62	-262839.8807	543114.081725708
2	167650072679.395	-60314.9302	-499.9561	3317.20945659564	6898.61952303074	-159059.8777
1	167356910437.118	367635.603593005	31.1069212459503	5115.34802386787	-437973.2258	-32707.4262
2	167565786894.441	102311.668944913	-10137.9352	-4297.3233	-493243.2784	8354.55496498818
1	166655402156.547	2670317.91984664	-7583.7765	14552.0378310808	-409519.4817	-16876.123
2	167650072540.941	-60313.9628	-146.7712	3179.46775947792	-720656.1416	-74520.438
1	167609696875.8	-185707.6003	52.7898531357089	-302.2729	784573.720567618	63472.5685897543
2	167650071887.4	-60312.7275	-3471.5653	2632.55886909665	-634203.1737	-18594.0999
1	167539647447.827	-209465.7466	-28551.9148	-19616.1923	-456180.5756	265067.294978882
2	167650072860.289	-60314.379	1679.82811938198	-2702.3211	-56799.5977	-277148.7946
1	167471945108.474	-568087.7081	-6541.378	-761.2613	-270200.7477	510625.410442315
2	167630077506.333	-157042.6618	436.606389941919	-261.0737	258611.810203277	-104893.4131
1	167452541417.902	-530094.2889	-11411.8398	-7858.6281	-417017.0554	492019.975613501
2	167650072825.257	-60314.4315	1788.46606656918	218.923916993884	-552573.8269	-192605.804
1	167406790107.864	-574221.1976	-8368.2306	-7175.8825	-421484.6553	430498.017110579
2	167650072860.299	-60314.3789	160.562835831865	365.55922476613	161167.093610263	886792.302582246
1	167645014883.003	-74455.2173	-33590.4103	-11956.0024	-250331.5981	648496.488493052
2	167650072860.322	-60314.3788	154.84710612038	1701.658366049	-108033.2902	267864.462845112
1	167623666865.75	-62673.4094	-2338.0204	812.544090413338	-571208.7273	-155821.5839
