s11	s12	s21	s22	s31	s32	s41	s42	s51	s52	labels
-0.108862298	-0.126860203	-0.086453406	-0.202979086	0.319851403	-0.346702501	0.390560665	-0.263699695	0.389549238	-0.40163079	1
0.036199016	-0.146524908	0.163282601	-0.383019095	1.331337248	-0.824658713	1.389926405	-0.176782378	1.389957342	0.253648269	2
-0.231675723	0.022773025	-0.42548265	0.357337701	-1.986988861	1.020062313	-2.000854736	0.021215267	-2.001998593	-0.863600311	1
0.108895578	-0.018841973	0.234415201	-0.253205834	1.334435848	-0.740349239	1.368852556	-0.133218563	1.368885583	0.29469774	2
0.002229819	-0.120364732	0.11055445	-0.346326024	1.206574166	-0.796020305	1.282325995	-0.310596505	1.282022132	-0.161261935	1
-0.039333396	-0.227225493	0.128096866	-0.595116794	1.881145757	-1.307084159	2.018518046	-0.634146857	2.019571077	-0.640685222	2
-0.076745908	-0.126929998	0.052011789	-0.377168406	1.343413111	-0.906006517	1.44306827	-0.215328228	1.442892567	0.272084573	1
0.072041145	0.048171872	0.197813016	-0.188301317	1.323225246	-0.73592009	1.368746917	-0.133973831	1.36878012	0.294619565	2
-0.072548676	-0.140858278	0.005000293	-0.293473713	0.810860739	-0.582133109	0.879395994	-0.084814739	0.878638638	0.402468556	1
0.048427882	-0.090378547	0.195233944	-0.391026418	1.610217489	-1.004029474	1.690827099	-0.36149307	1.691369495	-0.124105599	2
-0.084565327	-0.166081663	0.035367142	-0.397997151	1.246283461	-0.860863157	1.342101116	-0.169447839	1.341666186	0.395382626	1
0.038264494	-0.060156353	0.162016964	-0.289294679	1.287207284	-0.766189066	1.341122113	-0.140734892	1.341160493	0.307864964	2
-0.027712743	-0.069788595	-0.03515231	-0.046527254	-0.115029496	0.050726095	-0.11971079	0.188527968	-0.120618081	0.637134713	1
0.095988443	-0.095997189	0.181644638	-0.244325463	0.885669307	-0.487883992	0.895523432	-0.020806284	0.89564687	0.398123432	2
0.108434727	0.167689259	-0.006838561	0.444333906	-1.367061496	1.030863153	-1.507700234	0.628816591	-1.506764206	0.888500555	1
0.050411084	-0.04414586	0.176303859	-0.278885102	1.317733638	-0.774116522	1.370050175	-0.149733412	1.370087312	0.28520083	2
-0.078298053	0.26511342	-0.422834316	0.968291251	-3.798109892	2.405585498	-4.00477433	0.878685938	-4.004187643	0.34794017	1
0.03360283	-0.077456446	0.159632605	-0.311020883	1.311181461	-0.789583602	1.368188077	-0.151732857	1.3682671	0.29618354	2
-0.092769626	-0.137084092	-0.107320726	-0.165492931	0.020405308	-0.201613033	0.086302985	-0.530905827	0.085636721	-1.481155195	1
0.116357475	-0.032162637	0.241791221	-0.26596382	1.336107909	-0.740698603	1.368219454	-0.132409491	1.368240542	0.296223088	2
-0.054118907	0.014771362	-0.178003	0.281502397	-1.421815143	0.884621118	-1.501271503	0.531070399	-1.501922788	0.88042961	1
0.182542574	-0.086973351	0.307494463	-0.318620552	1.356080056	-0.728918094	1.36824164	-0.125161284	1.368292477	0.296251937	2
-0.242311558	0.147850178	-0.544133503	0.691137961	-3.133651419	1.750206164	-3.20709233	0.174643058	-3.207919016	-1.147290538	1
0.137917662	-0.080705008	0.263195098	-0.313020101	1.342646866	-0.746083082	1.368269828	-0.132829091	1.368308094	0.296212023	2
-0.182545202	0.08036988	-0.392817152	0.494493189	-2.313807012	1.340887315	-2.390299131	0.489878165	-2.391067977	0.30433453	1
0.103259683	-0.020459687	0.229090731	-0.25569119	1.336590773	-0.745591911	1.372933157	-0.13009204	1.372943145	0.315476892	2
-0.028882135	-0.094965486	0.093007162	-0.326125856	1.265537306	-0.811863607	1.342549861	-0.169011062	1.342400312	0.298502229	1
0.143702976	0.000285613	0.268940345	-0.234044398	1.344397394	-0.719337946	1.368268154	-0.124458767	1.368272414	0.296230952	2
-0.035531409	-0.023428218	0.093769501	-0.26198778	1.317874888	-0.816418464	1.39664125	-0.153981477	1.396689049	0.317483854	1
0.115455559	-0.105144429	0.240895369	-0.337083157	1.335841177	-0.762966842	1.368196722	-0.13914835	1.368263825	0.296220423	2
0.117875564	-0.027789745	0.136775428	-0.040644725	0.159772301	0.005781221	0.115624312	0.258254554	0.115117328	0.848255798	1
0.041428272	-0.062786652	0.167016215	-0.295833978	1.309292979	-0.779176506	1.363707327	-0.147913752	1.363747017	0.296820217	2
-0.138180529	-0.102807031	-0.140635846	-0.115111334	-0.009316291	-0.13030142	0.042336974	-0.052380022	0.041193603	0.080606377	1
0.143767145	-0.079402857	0.255820817	-0.290223251	1.21935088	-0.672749907	1.238549503	-0.138481293	1.238494426	0.20783391	2
0.047628832	0.048398573	0.040941362	0.087367198	-0.147426326	0.173543188	-0.18620273	0.242442551	-0.186014493	0.582955037	1
0.021235248	-0.033813688	0.143939381	-0.261575173	1.269941195	-0.758297355	1.32839464	-0.141388151	1.328432599	0.299721823	2
-0.082662655	0.209604768	-0.412668064	0.90989367	-3.739046711	2.391224887	-3.957935312	1.138463445	-3.957655164	1.253135582	1
0.091321465	-0.125161607	0.216934543	-0.35685741	1.328584739	-0.77927417	1.368224159	-0.14541304	1.368263312	0.296181436	2
-0.132505092	0.253401106	-0.47758152	0.933146791	-3.736758048	2.295037724	-3.908494329	0.669896528	-3.908279227	-0.189137332	1
0.021874685	0.019635337	0.045877158	-0.027822928	0.268712494	-0.146798324	0.278156696	-0.066625242	0.278088914	-0.088569446	2
0.007593304	0.010100836	0.142831933	-0.248239396	1.437980166	-0.864436002	1.51535059	-0.223889301	1.515294983	0.126303671	1
0.125236107	-0.067384948	0.250604869	-0.300181447	1.33876758	-0.747461248	1.368214557	-0.133944262	1.368266152	0.296233893	2
0.063973073	-0.044640503	0.188340088	-0.293742083	1.378195054	-0.828697641	1.440386601	-0.294239278	1.440288443	-0.128062892	1
0.051250689	-0.001684714	0.177028962	-0.236763307	1.315226633	-0.758576733	1.366897449	-0.141516012	1.366927751	0.295901992	2
-0.057378543	-0.141497359	0.015376862	-0.28229826	0.756769936	-0.536025449	0.815875915	-0.048212962	0.815069972	0.473606781	1
0.141198637	-0.118983687	0.266515984	-0.350431202	1.344344427	-0.756628651	1.369031989	-0.135939107	1.369059875	0.295879368	2
