labels,s11,s12,s21,s22,s31,s32,s41,s42,s51,s52
1,-0.000136476,-0.000332978,-0.061429001,2.124626692,-0.414089117,-1.966293684,3.916546888,3.045651096,28.562549579,12.707112619
2,0.001708988,0.000148909,-1.901543292,0.223849119,-2.838397653,-1.838511179,-2.42261914,-0.467287908,-13.621924751,-6.855979673
1,-0.001558807,0.000609882,0.198708553,-0.203762235,1.919779025,-1.123716958,2.549370859,-0.356660836,12.255373397,-2.42305706
2,-0.000192954,-0.001446991,1.352515666,-0.157206185,-3.262042747,-2.714675269,-3.297477811,0.047977243,-12.800112439,1.204100819
1,0.001583031,-0.00017476,-1.041574217,-0.924330806,-0.250841043,0.540675895,6.240495122,1.708323014,28.031838102,14.958303147
2,0.000241979,0.003207389,-0.87948636,-1.30454697,-9.083063294,0.456971184,1.485904512,0.541998587,-19.572464603,-5.219243905
1,-0.002557646,-0.001333087,1.171946552,0.192295432,0.778460203,-0.72262391,1.92326878,3.450693077,29.951478171,14.326930874
2,0.002199196,0.001748039,2.909384738,-0.186878989,-0.649999314,-2.918302503,-0.913709307,-0.382625802,-14.600629647,0.781261621
1,0.003048308,0.004804806,-0.072400801,-0.138659805,1.15381545,0.589780098,4.215822554,3.587623754,30.646384035,11.666937575
2,-1.6143e-05,-0.002482258,-3.663309192,-1.756634038,-3.459942631,-1.401995763,-0.515699621,-0.602390637,-22.109810833,-3.249301798
1,-0.001951252,0.000792131,-0.055957207,0.623451252,0.12270255,0.04060029,5.520893709,1.824929897,31.619040675,12.570335513
2,0.000490408,-0.00027522,-0.547404299,0.130542283,2.588072636,-0.311351481,4.066593114,-0.96782188,24.35706499,4.330377473
1,0.00117487,-0.004029213,0.942309688,0.900414422,1.929674519,3.33756578,4.543653946,1.317708447,30.417140158,9.492202369
2,0.00129462,0.002746028,2.788965855,0.751044739,4.044369358,-2.22174834,4.145892787,-1.131623145,18.810111178,-0.759403157
1,0.000485928,0.000737885,3.258473145,0.077015694,5.381075075,0.236137384,4.445533818,-1.488673887,22.134272523,-11.465616435
2,-0.000923362,-0.000282635,0.979804734,-2.301382739,-1.468007827,-1.721170852,-2.674472837,-2.473830775,-12.8256619,-6.621658894
1,0.001500086,-0.000843411,3.118582904,-0.915571376,3.239314196,0.838485052,4.547979432,-2.349412239,18.658215478,-10.016952108
2,-0.000850732,-0.00077196,-0.439648041,-2.561677596,-4.806706983,-2.962128981,-5.428469648,-0.614785644,-26.306097289,-9.31857523
1,0.001242883,-0.00079929,0.035607496,-0.347218074,1.801827601,-4.479510816,-0.475777154,-1.84330799,-0.237532404,-4.886111222
2,-0.001062308,0.00217066,0.493330015,2.201365266,0.40202037,3.109747667,-1.385600327,1.301551311,-9.289531706,7.871996168
1,0.003968543,0.002636449,0.26945206,0.893898086,1.812526948,0.352240749,4.208277182,0.518199518,30.063878387,6.55211803
2,-5.2297e-05,-3.1511e-05,-2.011756761,-2.274180842,-4.57613635,-2.294482353,-6.318681444,-1.411163817,-28.777990798,-5.845093659
1,-0.001521,-0.000931835,0.375376769,-1.407826993,1.503399143,-1.291595977,2.181510231,-1.031650433,11.930655017,-4.661626594
2,-0.000760199,-0.00054474,-0.950679073,-1.351891713,-3.3834473,-2.717705881,-4.299463902,-1.976514689,-23.361072494,-12.067240348
1,-0.001142034,0.000946437,0.609990876,1.471519245,1.911927839,0.506744867,5.633160875,0.38504547,29.614170666,3.863612409
2,-0.000989022,0.000958305,-0.992324786,1.026927105,-0.358268488,2.046573337,4.5156739,2.722453524,33.393720092,10.997733263
1,-0.001416753,0.000316661,1.774974682,0.72273096,-0.592857275,0.165084237,4.203929805,1.859687149,31.759899266,14.414561646
2,-0.000261714,0.000391208,-1.600722514,-2.406506891,-2.884718937,-1.14917626,-3.744088647,-0.929446298,-18.198809103,-9.483101916
1,0.002614318,-9.225e-05,3.888585552,0.10530059,4.575911079,4.87356238,0.865526855,2.305273357,3.720055937,14.487230821
2,-0.000487897,0.00023637,-1.179385704,-3.324379023,0.139240305,-3.174496155,-1.058232139,-1.819782994,-8.896203845,-12.581331282
1,0.002039794,0.002321727,0.255330601,1.108813405,1.326474975,-3.667904902,3.551986367,1.24786343,30.392556301,8.076742797
2,-0.000842641,0.001197937,-0.468415762,-2.153210315,3.938885573,0.837590334,5.930633251,-2.207199555,34.879626264,-5.600937357
