labels	s1	s2	s3	s4	s5	sn1	sn2	sn3	sn4	sn5	ts1	ts2	ts3	ts4	ts5	
1	828.5	-56.04	-322.6	0	0	-5512.74	1880.68	15068.83	34717.6	58193.4	-5.68	1698.68	10472.07	13625.08	102444.65	
1	756.82	801.91	1210.96	0	0	-1476.1	4489.7	1082.74	2910.33	8778.66	-27.98	1154.92	-19165.73	-19509.77	-124947.45	
1	1295.54	-314.07	-845.16	0	0	-3366.74	8695.43	5435.14	13497.4	6658.08	23.76	-2682.8	-6091.9	-4247.89	-30842.38	
1	-858.21	156.6	1398.88	0	0	1735.93	-927.15	7253.91	3109.6	15400.78	-19.58	-1798.49	-17826.44	-17917.13	-110383.68	
1	150.96	-682.65	1398.08	0	0	-1160.31	-862.56	-6203.05	2236.48	33028.68	-3	-8031.41	-1966.29	-9557.59	-74976.1	
1	663.58	1292.65	874.85	0	0	5099.73	-18673.49	-17441.6	9618.28	42627.78	18.31	-2012.05	5361.74	-3260.18	-763.31	
1	670.36	1246.74	863.92	0	0	4324.3	-160.99	-14878.7	12094.23	42138.93	6.39	2390.29	6397.06	-3381.23	-785.11	
1	488.17	-6.09	-508.63	0	0	285.04	16617.19	21556.37	42366.14	61911.77	-4.34	6100.35	12102.86	14733.28	107801.09	
1	1855.92	738.75	591.93	0	0	-1056.05	-4658.05	-3205.85	15339.39	44348.55	-45.7	1325.59	5018.09	3102.67	8901.98	
1	-1728.37	-885.46	-548.29	0	0	3248.62	-6711.64	7562.57	30508.02	38797.5	-44.51	35572.4	-76285.7	6188.89	56495.24	
1	277.16	-238.65	224.04	0	0	-3647.4	-4809.67	-3464.3	24708.43	33674.84	18.98	-4178.12	-4218.71	1659.21	34846.32	
1	-153.01	-1042.02	-1214.01	0	0	1813.18	-6695.06	394.68	21927.66	28838.57	-41.39	-43074.81	7212.88	10350.59	58150.44	
1	-801.25	-229.52	377.22	0	0	-2214.91	553.35	2015.25	19731.97	20185.82	-1.29	329.53	-6823.41	-5099.64	21922.97	
1	518.79	1493.95	2133.56	0	0	-1408.49	-9163.27	498.6	150.23	11334.52	-8.12	-5.95	-10817.09	-18032.11	-97015.58	
1	2743.86	-472.83	-2148.91	0	0	-2223.02	184.28	-9292.42	13475.44	18574.16	-9.53	2947.39	23091.56	32000.12	203247.05	
1	-1714	-665.65	56.28	0	0	1519.67	92.52	20351.01	25303.61	49363.47	6.26	-221.74	8491.04	10373.57	92036.89	
1	4032.36	1210.35	-1955.38	0	0	-2541.62	2422.53	18232.74	53437.86	78856.44	5.66	2450.49	-48164.09	-180684.58	-378052.11	
1	977.48	-321.67	-1101.4	0	0	-3397.89	-621.19	-1385.06	34683.22	46484.59	-16.62	-2137.89	9287.15	14726.9	64728.01	
1	1675.04	1491.72	-1018.55	0	0	1451.9	5744.88	4217.39	36035.84	61556.7	-13.6	-900.76	13559.17	16468.03	123501.6	
1	104.64	479.34	434.85	0	0	-1477.29	-4057.62	-7730.12	17216.88	47861.92	-17.95	3304.06	6098.43	5743.44	6563.98	
1	1071.86	976.14	-492.39	0	0	876.99	3300.33	11843.62	31155.53	60702.36	-2.6	5645.89	16846.53	11786.53	119936.41	
1	1296.05	304.75	-925.04	0	0	-1263.5	640.98	23178.03	46267.8	68201.12	21.43	44255.19	18306.79	22198.48	145959.09	
1	2262.05	1152.18	298.39	0	0	601.35	3481.69	-10557.16	18826.39	49938.94	-7.7	183.16	9026.65	3213.27	7500.79	
1	-60.55	179.18	1414.16	0	0	-7901.23	2171.43	-2442.41	4658.25	16615.81	-32.65	18406.01	-12670.3	-16300.56	-108009.88	
1	1096.84	-554.26	-1158.71	0	0	1190.14	6139.44	-1698.18	28125.36	34700.74	-3.37	26434.25	9670.17	12699.39	59941.25	
1	-278.33	102.82	-957.78	0	0	5353.24	-14.85	17958.49	49739.49	70002.79	-15.38	-18027.76	19411.36	22709.75	145790.08	
1	-440.89	-79.88	538.33	0	0	2910.75	750.83	1591.69	14903.36	8574.33	-7.66	-3297.38	-14612.89	-5580.82	-50503.43	
1	-27.36	1298.85	1934.48	0	0	2525.2	2800.56	-4879.27	-3044.04	-208.8	3.66	-3180.61	-14202.75	-24403.24	-144337.28	
1	464.37	678.23	1552.49	0	0	-926.77	-6657	-10800.1	1220.96	25730.48	-6.15	-3278.93	-2905.99	-16740.67	-84235.74	
1	-1194.38	-663.94	-203.33	0	0	335.69	1566.73	18346.06	31967.28	57879.79	16.34	1305.75	15014.95	15176.39	102021.82	
1	-1574.86	-1619.37	1455.37	0	0	525.52	-2203.64	-3758.6	-290.88	34924.63	-11.23	-100.27	219.49	-6953.95	-72478.69	
1	-343.07	229.03	-1464.62	0	0	81.72	6204.67	18679.49	57826.85	79384.74	21.29	-14559.35	18654.31	24961.66	161241.3	
1	-1263.46	-1722.46	-1922.73	0	0	-2699.04	3774.37	1317.89	-34.71	2070.83	6.74	-1039.49	1378.27	4293.09	-15506.02	
1	-1465.35	1394.56	2587.79	0	0	-1264.59	-2238.59	-4967.66	-9907.35	-17180.51	10.38	-1589.16	-25769.76	-28863.62	-153708.78	
1	1873.8	335.83	-1055.19	0	0	-731.72	1238.31	16161.66	49850.07	72128.12	49.98	41437.99	17419.47	22247.44	149973.92	
1	1365.19	526.72	698.04	0	0	-1649.67	688.95	17390.14	13561.63	30764.09	-22.62	-3301.59	-3188.7	-6800.11	-103051.2	
1	2521.57	501.95	-1344.96	0	0	2302.58	741.6	22359.71	55064.97	77428.71	-4.67	21938.77	21255.28	26054.3	158566.25	
1	729.84	490.06	724.77	0	0	7407.82	-4666.51	8534.59	14186.85	32141.12	11.27	-1227.68	-4160.41	-667.05	-101703.96	
1	590.81	-218.22	58.72	0	0	-4177.74	-449.53	19075.09	26763.54	52406.97	-18.2	221.52	2953.53	9565.72	94972.9	
1	-1367.13	-1221.93	-965.44	0	0	177.49	-2521.39	4147.57	15065.97	9294.5	16.4	-6818.37	-5681.87	-4746.87	-28197.64	
1	-445.81	319.24	1060.91	0	0	-4534.43	-4773.29	749.53	7313.3	18207.71	-2.41	-2963.16	-11628.9	-11600.14	-113821.82	
1	1003.38	479.9	939.38	0	0	3699.91	5083.99	6285.16	12486.26	20077.3	-0.16	-6031.17	-11301.79	-13338.61	-115835.43	
1	-404.63	411.33	1915.33	0	0	4022.5	-4929.27	-11011.74	-6417.43	18456.96	-12.03	716.66	-7441.73	-14316.42	-90409.36	
1	359.9	1397.44	1937.01	0	0	-5195.21	6122.36	-6371.72	-4119.21	-5168.58	-6.1	-10064.09	-21088.06	-26529.59	-153396.68	
1	-1004.39	181.21	1458.86	0	0	5623.76	3348.41	-5048.05	4396.08	15073.86	8.87	-3477.43	-8798.52	-15974.3	-109443.84	
1	-2136.19	-994.58	-773.71	0	0	-3461.38	-8762.57	-72.02	32908.93	46434.7	4.69	-7266.04	6693.28	10372.6	68474.25	
1	274.13	1191.46	-1812.35	0	0	472.93	6962.69	21204.11	63712.43	86022.46	7.71	2802.41	20259.99	23127.29	164987.48	
