s11	s12	s21	s22	s31	s32	s41	s42	s51	s52	sn11	sn12	sn21	sn22	sn31	sn32	sn41	sn42	sn51	sn52	ts11	ts12	ts21	ts22	ts31	ts32	ts41	ts42	ts51	ts52
-0.04304	1.31782	-0.01461	0.63243	-0.00555	1.3761	-0.77718	1.50986	-1.57817	-0.84845	0.72627	0.80903	0.08667	0.05242	1.33927	-0.50876	0.67849	-0.98492	1.02525	-0.78359	0.18189	-1.0906	-0.09912	-0.16491	-0.03644	-1.14983	-0.01155	-1.14178	-0.17625	-1.34108
1.07737	-1.40576	1.13758	-0.37777	1.10572	-0.86817	0.99342	-1.35842	0.67647	-1.5477	-1.01077	0.53608	0.33854	1.85861	0.05177	-0.49701	1.50734	-1.06942	0.14866	-1.89963	0.92055	0.77527	0.1999	0.12376	2.02902	0.66605	1.62954	1.40916	1.40134	1.58055
-0.77351	0.71432	-0.40712	0.15763	-1.00652	0.52431	-0.37411	-1.1362	-0.56126	-1.195	-1.39226	0.19352	-0.74247	1.35289	-1.30344	0.61618	1.08951	-0.7706	1.34138	-1.27401	-0.27108	1.307	0.24174	-0.17655	1.96673	0.30334	1.88602	1.07788	1.62232	0.88028
-0.41745	-0.17075	-0.15697	-0.03171	-0.58874	-0.09045	-0.8438	-1.30289	-0.88359	-1.44648	0.0525	-1.93614	-0.40825	-0.24988	-0.06697	-0.58458	1.07175	-0.85765	1.71625	-1.3118	-1.30606	-1.66471	0.40176	-0.04688	2.15867	0.29399	1.90759	1.09953	1.68028	1.0184
-1.29528	-0.57041	-1.84851	-0.12211	-1.54891	-0.4283	-1.63293	-0.706	-1.70423	-0.72991	-0.23069	0.34851	-0.83572	0.04222	0.00991	1.63929	1.17438	-1.1762	1.76402	-1.14676	-0.34474	0.14258	0.1018	-0.05151	0.02385	-1.07658	0.00147	-1.05874	-0.25183	-1.3151
-1.20463	1.54576	-1.18408	0.43874	-1.02916	0.87537	0.24661	-1.65505	0.87202	-1.4041	-0.15728	0.63595	-0.27705	0.37961	0.15926	0.62607	1.15801	-1.03392	-0.05696	-2.05519	0.9588	0.53614	0.64956	0.33849	2.02786	0.78316	1.59268	1.47587	1.38003	1.66201
1.52871	-0.16675	1.488	-0.03739	1.21946	-0.13767	0.76078	-1.2137	0.57599	-1.26868	0.54181	-1.93747	1.71177	-0.84399	0.84538	-0.95624	1.08258	-1.04636	0.06426	-1.90512	-2.86933	-0.96284	1.42764	0.01369	1.85577	0.68781	1.61684	1.43212	1.40929	1.62813
0.04469	-1.18142	0.00979	-0.37434	0.03054	-1.3766	0.64427	-1.40913	0.66573	-1.36907	0.47701	-0.04372	1.51114	-0.82334	0.93101	-0.66489	1.10349	-1.17437	0.09055	-1.90548	-0.65476	-1.07666	0.42701	0.53344	1.86492	0.66692	1.62105	1.45316	1.38005	1.6116
0.84785	-0.18047	1.05096	-0.03766	1.35107	-0.1276	1.47427	-1.06748	-0.50124	-1.81374	1.93131	0.94236	0.48055	-0.71885	0.12018	-0.52031	1.13291	-1.19068	1.84898	-1.84733	-0.19299	0.21033	0.57585	0.24439	1.99073	0.41937	1.86178	1.19612	1.64889	1.21658
-0.40321	-0.68196	-0.14772	-0.15535	-0.33335	-0.99071	-0.16473	-1.67075	0.24158	-1.7284	1.20155	-0.33721	0.33095	-0.11562	1.6186	-0.95139	1.5061	-1.43292	1.12993	-1.75661	-0.44866	-0.36721	1.39104	0.16408	2.14922	0.60733	1.73967	1.3573	1.6103	1.45778
