s11,s12,s21,s22,s31,s32,s41,s42,s51,s52
7.4459e-05,-0.000449074,-0.001509141,-0.001610222,-0.05944482,-1.337455842,-0.029358625,-1.876641242,-5.482871845,-34.393395295
0.000376847,0.000319231,0.003043459,0.001208397,3.310379245,0.774733739,4.140340028,2.316117847,43.594698755,40.534803458
-0.000110972,0.00053818,0.003680425,-0.001723886,3.208753162,0.352832087,4.792011194,1.771610579,50.469363845,22.575630351
-0.000534665,-0.000685474,0.006116686,-0.000457752,3.521916341,0.341959827,4.846812865,1.807193729,52.272256532,26.118568463
-0.000141128,5.871e-05,0.001549936,-0.000502992,0.038912162,-1.252247029,0.003723531,-1.740157138,-7.834410556,-33.727208646
0.000392508,0.000220765,0.009889334,0.003305109,3.308485581,0.910950243,4.046693429,2.425756554,42.931734772,42.623980433
-0.001174624,-0.000396465,0.021735514,0.000133642,3.027715655,0.800044154,4.108073366,2.353849631,43.842066332,41.755173675
-0.00026804,-0.000443334,0.006501201,0.005208713,3.042646783,0.77574667,4.118778693,2.388423905,42.932425707,41.33115401
-7.9006e-05,8.6607e-05,0.008767259,0.00238635,3.247918821,0.487798892,4.730425756,1.965956453,51.295758726,31.20043324
-0.000183671,-0.000151206,0.021178255,0.001602126,3.50648911,0.706431619,4.420172639,2.230875254,50.095440541,37.386419164
0.00044683,0.000146575,0.014549927,0.001938967,3.147363121,0.715317369,4.336907888,2.282700575,47.725393948,37.84671779
-2.3388e-05,0.000198096,0.007712072,-0.00166619,3.243897909,0.339140571,4.887950121,1.778427443,51.554594257,24.084314469
-6.1023e-05,3.68e-06,0.009561677,0.003383153,3.197261741,0.688616716,4.311690007,2.159114939,40.061215504,29.068165376
-0.000210369,6.2373e-05,0.016509353,0.006198566,2.992003683,0.968886937,3.896351733,2.423019371,41.683044375,45.773217443
1.443e-06,-0.000223772,0.005329327,-0.002984805,3.338957222,0.313607717,4.843824244,1.808701467,51.530855936,26.912866255
0.000320057,-0.000421176,0.013077726,0.004301589,3.115084816,0.955506608,4.136893932,2.388350514,46.112166427,41.728237138
